RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
2097,528,Windham County,county,CT,CT,"Worcester, MA-CT",9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.549599,1501.20379,1498.253097,1555.404808,1613.805057,1601.50353,1555.01582,1579.990031,1584.172648,1582.151923,1635.878912,1683.227916,1710.555556
441,529,Clark County,county,IN,IN,"Louisville/Jefferson County, KY-IN",18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269.623001,1252.097185,1259.438646,1268.673965,1277.699134,1295.123067,1350.167739,1384.565429,1388.909681,1384.297858,1386.932778,1374.800458,1370.681557,1361.611999,1364.516667
1513,530,Allegan County,county,MI,MI,"Holland, MI",26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.766603,1226.264349,1274.229227,,1389.65417,1360.010886,1391.032729,1344.063155,1325.055105,1284.111111
797,531,Wayne County,county,OH,OH,"Wooster, OH",39,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.66483,1140.89205,1220.013341,1270.3967,1278.593812,1205.674398,1172.701384,1175.666667
1889,532,Lowndes County,county,GA,GA,"Valdosta, GA",13,185,996.8156714,995.5001363,1000.167172,999.4944065,1001.904177,1002.88599,1003.114968,1002.928883,987.7450643,990.561071,988.7096131,1001.956739,999.4851524,987.8777175,989.241328,991.1590587,1006.428475,1007.067534,1007.496478,1007.37849,1008.022382,1026.38366,1027.912076,1024.876817,1004.655661,1004.601632,1010.809198,1017.99399,1019.757186,1021.781886,1017.019192,1018.349367,1020.132666,1026.715901,1029.728612,1033.576414,1034.27308,1034.813618,1037.325331,1038.623945,1039.459808,1037.789621,1035.333714,1029.978746,1025.430253,1026.640795,1036.166162,1040.266077,1041.246488,1041.159849,1052.545149,1060.053571,1047.861643,1050.894232,1056.104786,1070.840414,1068.146642,1065.399505,1072.001804,1074.125859,1080.785067,1104.486765,1111.826252,1117.651501,1097.628927,1113.79206,1130.849314,1162.591738,1157.225127,1155.619098,,1153.154226,1161.212235,1153.009836,1181.333542,1181.899319,1212.075545,1245.842456,1290.483805,1324.924752,1347.30394,1399.589428,1401.04643,1404.40676,1387.503314,1424.135505,1443.267465,1459.860203,1452.790186,1460.913538,1434.732182,1426.375411,1412.825014,1437.821127,1404.777778
2142,533,Berkeley County,county,WV,WV,"Hagerstown-Martinsburg, MD-WV",54,3,,,,,,,,,,,,,,1042.457345,1033.522033,1037.993513,1043.605051,1049.553052,1048.83529,1039.500696,1035.673141,1037.90634,1043.53654,1053.942713,1073.642985,1076.333446,1074.911403,1066.666423,1079.946546,1086.14751,1090.032239,1085.145298,1086.78315,1081.153805,1090.228686,1094.954604,1103.94616,1103.59778,1107.420767,1110.198874,1122.041671,1123.834988,1117.320045,1111.666344,1114.136379,1116.332625,1127.20539,1133.324685,1147.998546,1150.608885,1162.358006,1164.909606,1165.648844,1152.827979,1153.55096,1156.238604,1158.055421,1177.138873,1175.606213,1186.003454,1179.261743,1181.070237,1183.277274,1187.705548,1210.410184,1229.274724,1243.830616,1240.066608,1244.459919,1248.41359,1275.924013,1288.618464,1286.072183,1286.974939,1302.164638,1332.920546,1357.159998,1363.858205,1386.226786,1397.157053,1394.157803,1393.80828,1406.830211,1453.082617,1466.554425,1481.138413,1496.847194,1533.359688,1602.618562,1627.578793,1622.267294,1566.644462,1519.53143,1532.21799,1535.501984
2845,534,Sheboygan County,county,WI,WI,"Sheboygan, WI",55,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.7876639,814.7090798,838.4591366,901.5190096,921.2025984,925.8218351,954.1666667
2247,535,Delaware County,county,IN,IN,"Muncie, IN",18,35,,,,,,,,,,,,,,,598.1313256,587.7772288,587.882679,,599.0443799,599.1055272,602.0364641,614.6612826,609.2021902,619.4514235,622.531993,643.3553864,626.3589453,628.9659343,621.7740789,635.7444297,650.2846028,660.1549914,659.1656861,661.8167326,643.7279722,648.6197206,638.1313927,661.4031713,664.1626799,665.9296,663.7733072,671.1714897,682.4765676,688.989942,690.1879823,697.1708212,696.3811397,697.601644,698.7886958,698.4471808,704.3305226,712.9909915,712.8270722,705.5173695,702.2441478,716.440644,731.9231865,727.3182751,723.7439272,719.0578794,719.3788131,730.3588541,728.9622061,730.5391167,725.0690429,740.1996853,757.7300477,765.903884,772.5351128,771.6552702,780.7865524,798.8248459,807.2395823,826.0106871,793.4875188,802.7981411,784.1864325,799.8689654,827.1008695,864.127438,898.5198658,882.8867213,859.7204693,853.3300189,860.7567303,916.9079308,915.3640934,955.9818488,923.8646512,946.2698277,917.1314083,920.512316,933.6570388,961.2374514,974.1324786
2719,536,Henderson County,county,NC,NC,"Asheville, NC",37,89,204.9553522,199.3502878,204.2364687,203.3137096,215.3181695,219.5623709,224.8529333,219.4367976,207.2645414,203.2227664,197.3443731,196.6661544,198.9903101,204.1685877,203.2073151,212.35148,217.2903289,228.3363114,315.0997097,384.8461144,474.8690759,342.4743237,355.3144269,370.1395786,422.2213969,428.8434223,431.2906497,436.5676013,436.6651878,443.0042718,446.5502067,447.4724804,428.3038099,426.8314894,440.833825,456.8801767,459.5247325,435.5259319,449.9089881,461.0333384,491.4054977,484.9791486,497.3858814,492.3831697,389.5540442,509.0981274,691.7957422,1098.542594,1121.396256,1131.245666,1131.453814,1165.372658,1168.032352,1159.225379,1148.311665,1146.966875,1079.768626,1115.577543,1137.797144,1202.121551,1187.400377,1205.113064,1205.408699,1226.270339,,1212.676029,1242.751246,1315.639333,1326.261408,1298.335513,1386.72077,1413.675516,1465.855436,1403.560417,1377.882648,1436.205908,1539.731051,1647.414801,1612.003437,1639.203377,1682.425562,1751.846547,1627.254376,1720.598698,1736.868479,1930.952114,1933.894525,2002.718394,1995.507481,2051.596597,2075.969822,2107.880175,2055.847174,2034.609775,1915.666667
1569,537,Calhoun County,county,AL,AL,"Anniston-Oxford, AL",1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166.003175,1143.32524,1119.075621,1106.666667
